name,set_code,card_number,class_name,power,toughness,starting_loyalty,starting_defense,mana_value,rarity,types,subtypes,supertypes,mana_costs,rules,black,blue,green,red,white,frame_color,frame_style,various_art
"Rustler Rampage","UNK","0","mage.cards.r.RustlerRampage","","","","","1","common","INSTANT","","","{W}","","false","false","false","false","true","white","","false"
"Revitalize","UNK","0","mage.cards.r.Revitalize","","","","","2","common","INSTANT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Righteous Blow","UNK","0","mage.cards.r.RighteousBlow","","","","","1","common","INSTANT","","","{W}","","false","false","false","false","true","white","","false"
"Roamers Routine","UNK","0","mage.cards.r.RoamersRoutine","","","","","3","common","SORCERY","","","{2}{G}","","false","false","true","false","false","green","","false"
"Ral And The Implicit Maze","UNK","0","mage.cards.r.RalAndTheImplicitMaze","","","","","5","common","ENCHANTMENT","SAGA","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Rush Of Battle","UNK","0","mage.cards.r.RushOfBattle","","","","","4","common","SORCERY","","","{3}{W}","","false","false","false","false","true","white","","false"
"Revel Of The Fallen God","UNK","0","mage.cards.r.RevelOfTheFallenGod","","","","","7","common","SORCERY","","","{3}{R}{R}{G}{G}","","false","false","true","true","false","multicolor","","false"
"Radiant Purge","UNK","0","mage.cards.r.RadiantPurge","","","","","2","common","INSTANT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Raven Guild Master","UNK","0","mage.cards.r.RavenGuildMaster","1","1","","","3","common","CREATURE","HUMAN WIZARD MUTANT","","{1}{U}{U}","","false","true","false","false","false","blue","","false"
"Requisition Raid","UNK","0","mage.cards.r.RequisitionRaid","","","","","1","common","SORCERY","","","{W}","","false","false","false","false","true","white","","false"
"Runaway Steam Kin","UNK","0","mage.cards.r.RunawaySteamKin","1","1","","","2","common","CREATURE","ELEMENTAL","","{1}{R}","","false","false","false","true","false","red","","false"
"Recall","UNK","0","mage.cards.r.Recall","","","","","3","common","SORCERY","","","{X}{X}{U}","","false","true","false","false","false","blue","","false"
"Rabanastre Royal City","UNK","0","mage.cards.r.RabanastreRoyalCity","","","","","0","common","LAND","TOWN","","","","false","false","false","false","false","colorless","","false"
"Riths Charm","UNK","0","mage.cards.r.RithsCharm","","","","","3","common","INSTANT","","","{R}{G}{W}","","false","false","true","true","true","multicolor","","false"
"Righteous War","UNK","0","mage.cards.r.RighteousWar","","","","","3","common","ENCHANTMENT","","","{1}{W}{B}","","true","false","false","false","true","multicolor","","false"
"Ruthless Technomancer","UNK","0","mage.cards.r.RuthlessTechnomancer","2","4","","","4","common","CREATURE","HUMAN WIZARD","","{3}{B}","","true","false","false","false","false","black","","false"
"Rionya Fire Dancer","UNK","0","mage.cards.r.RionyaFireDancer","3","4","","","5","common","CREATURE","HUMAN WIZARD","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Reroute Systems","UNK","0","mage.cards.r.RerouteSystems","","","","","1","common","INSTANT","","","{W}","","false","false","false","false","true","white","","false"
"Role Reversal","UNK","0","mage.cards.r.RoleReversal","","","","","3","common","SORCERY","","","{U}{U}{R}","","false","true","false","true","false","multicolor","","false"
"Riverchurn Monument","UNK","0","mage.cards.r.RiverchurnMonument","","","","","2","common","ARTIFACT","","","{1}{U}","","false","true","false","false","false","blue","","false"
"Rite Of The Moth","UNK","0","mage.cards.r.RiteOfTheMoth","","","","","4","common","SORCERY","","","{1}{W}{B}{B}","","true","false","false","false","true","multicolor","","false"
"Revered Elder","UNK","0","mage.cards.r.ReveredElder","1","2","","","3","common","CREATURE","HUMAN CLERIC","","{2}{W}","","false","false","false","false","true","white","","false"
"Ragnarok Divine Deliverance","UNK","0","mage.cards.r.RagnarokDivineDeliverance","7","6","","","0","common","CREATURE","BEAST AVATAR","","","","false","false","false","false","false","colorless","","false"
"Rangers Refueler","UNK","0","mage.cards.r.RangersRefueler","3","3","","","2","common","ARTIFACT","VEHICLE","","{1}{U}","","false","true","false","false","false","blue","","false"
"Ruins Of Oran Rief","UNK","0","mage.cards.r.RuinsOfOranRief","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Robaran Mercenaries","UNK","0","mage.cards.r.RobaranMercenaries","3","4","","","4","common","CREATURE","HUMAN MERCENARY","","{3}{W}","","false","false","false","false","true","white","","false"
"Rottenheart Ghoul","UNK","0","mage.cards.r.RottenheartGhoul","2","4","","","4","common","CREATURE","ZOMBIE","","{3}{B}","","true","false","false","false","false","black","","false"
"Rooting Moloch","UNK","0","mage.cards.r.RootingMoloch","4","4","","","5","common","CREATURE","LIZARD","","{4}{R}","","false","false","false","true","false","red","","false"
"Rug Of Smothering","UNK","0","mage.cards.r.RugOfSmothering","1","3","","","3","common","ARTIFACT CREATURE","CONSTRUCT","","{3}","","false","false","false","false","false","colorless","","false"
"Riot Control","UNK","0","mage.cards.r.RiotControl","","","","","3","common","INSTANT","","","{2}{W}","","false","false","false","false","true","white","","false"
"Rakdos Cluestone","UNK","0","mage.cards.r.RakdosCluestone","","","","","3","common","ARTIFACT","","","{3}","","false","false","false","false","false","colorless","","false"
"Regrowth","UNK","0","mage.cards.r.Regrowth","","","","","2","common","SORCERY","","","{1}{G}","","false","false","true","false","false","green","","false"
"Rumor Gatherer","UNK","0","mage.cards.r.RumorGatherer","2","1","","","3","common","CREATURE","ELF WIZARD","","{1}{W}{W}","","false","false","false","false","true","white","","false"
"Ray Of Distortion","UNK","0","mage.cards.r.RayOfDistortion","","","","","4","common","INSTANT","","","{3}{W}","","false","false","false","false","true","white","","false"
"Rancor","UNK","0","mage.cards.r.Rancor","","","","","1","common","ENCHANTMENT","AURA","","{G}","","false","false","true","false","false","green","","false"
"Redtooth Vanguard","UNK","0","mage.cards.r.RedtoothVanguard","3","1","","","2","common","CREATURE","ELF WARRIOR","","{1}{G}","","false","false","true","false","false","green","","false"
"Ral Monsoon Mage","UNK","0","mage.cards.r.RalMonsoonMage","1","3","","","2","common","CREATURE","HUMAN WIZARD","","{1}{R}","","false","false","false","true","false","red","","false"
"Rubblebelt Maverick","UNK","0","mage.cards.r.RubblebeltMaverick","1","1","","","1","common","CREATURE","HUMAN DETECTIVE","","{G}","","false","false","true","false","false","green","","false"
"Rest For The Weary","UNK","0","mage.cards.r.RestForTheWeary","","","","","2","common","INSTANT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Reduce To Dreams","UNK","0","mage.cards.r.ReduceToDreams","","","","","5","common","SORCERY","","","{3}{U}{U}","","false","true","false","false","false","blue","","false"
"Rasaad Yn Bashir","UNK","0","mage.cards.r.RasaadYnBashir","0","3","","","3","common","CREATURE","HUMAN MONK","","{2}{W}","","false","false","false","false","true","white","","false"
"Riptide Crab","UNK","0","mage.cards.r.RiptideCrab","1","3","","","3","common","CREATURE","CRAB","","{1}{W}{U}","","false","true","false","false","true","multicolor","","false"
"Raking Canopy","UNK","0","mage.cards.r.RakingCanopy","","","","","3","common","ENCHANTMENT","","","{1}{G}{G}","","false","false","true","false","false","green","","false"
"Rust Tick","UNK","0","mage.cards.r.RustTick","1","3","","","3","common","ARTIFACT CREATURE","INSECT","","{3}","","false","false","false","false","false","colorless","","false"
"Rain Of Thorns","UNK","0","mage.cards.r.RainOfThorns","","","","","6","common","SORCERY","","","{4}{G}{G}","","false","false","true","false","false","green","","false"
"Ridgeline Rager","UNK","0","mage.cards.r.RidgelineRager","1","2","","","3","common","CREATURE","BEAST","","{2}{R}","","false","false","false","true","false","red","","false"
"Rigo Streetwise Mentor","UNK","0","mage.cards.r.RigoStreetwiseMentor","2","2","","","5","common","CREATURE","CAT CITIZEN","","{G/W}{W}{W/U}","","false","true","true","false","true","multicolor","","false"
"Recumbent Bliss","UNK","0","mage.cards.r.RecumbentBliss","","","","","3","common","ENCHANTMENT","AURA","","{2}{W}","","false","false","false","false","true","white","","false"
"Rakshasa Vizier","UNK","0","mage.cards.r.RakshasaVizier","4","4","","","5","common","CREATURE","DEMON","","{2}{B}{G}{U}","","true","true","true","false","false","multicolor","","false"
"Red Mana Battery","UNK","0","mage.cards.r.RedManaBattery","","","","","4","common","ARTIFACT","","","{4}","","false","false","false","false","false","colorless","","false"
"Return Upon The Tide","UNK","0","mage.cards.r.ReturnUponTheTide","","","","","5","common","SORCERY","","","{4}{B}","","true","false","false","false","false","black","","false"
"Reach Of Shadows","UNK","0","mage.cards.r.ReachOfShadows","","","","","5","common","INSTANT","","","{4}{B}","","true","false","false","false","false","black","","false"
"Rabid Bite","UNK","0","mage.cards.r.RabidBite","","","","","2","common","SORCERY","","","{1}{G}","","false","false","true","false","false","green","","false"
"Rustwing Falcon","UNK","0","mage.cards.r.RustwingFalcon","1","2","","","1","common","CREATURE","BIRD","","{W}","","false","false","false","false","true","white","","false"
"Rotting Mastodon","UNK","0","mage.cards.r.RottingMastodon","2","8","","","5","common","CREATURE","ZOMBIE ELEPHANT","","{4}{B}","","true","false","false","false","false","black","","false"
"Reset","UNK","0","mage.cards.r.Reset","","","","","2","common","INSTANT","","","{U}{U}","","false","true","false","false","false","blue","","false"
"Ravens Crime","UNK","0","mage.cards.r.RavensCrime","","","","","1","common","SORCERY","","","{B}","","true","false","false","false","false","black","","false"
"Ruinous Minotaur","UNK","0","mage.cards.r.RuinousMinotaur","5","2","","","3","common","CREATURE","MINOTAUR WARRIOR","","{1}{R}{R}","","false","false","false","true","false","red","","false"
"Ritual Of Hope","UNK","0","mage.cards.r.RitualOfHope","","","","","2","common","INSTANT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Risky Move","UNK","0","mage.cards.r.RiskyMove","","","","","6","common","ENCHANTMENT","","","{3}{R}{R}{R}","","false","false","false","true","false","red","","false"
"Rally The Troops","UNK","0","mage.cards.r.RallyTheTroops","","","","","1","common","INSTANT","","","{W}","","false","false","false","false","true","white","","false"
"Roiling Horror","UNK","0","mage.cards.r.RoilingHorror","0","0","","","5","common","CREATURE","HORROR","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Runehorn Hellkite","UNK","0","mage.cards.r.RunehornHellkite","5","5","","","6","common","CREATURE","DRAGON","","{5}{R}","","false","false","false","true","false","red","","false"
"Rooftop Nuisance","UNK","0","mage.cards.r.RooftopNuisance","","","","","3","common","SORCERY","","","{2}{U}","","false","true","false","false","false","blue","","false"
"Rolling Spoil","UNK","0","mage.cards.r.RollingSpoil","","","","","4","common","SORCERY","","","{2}{G}{G}","","false","false","true","false","false","green","","false"
"Ruthless Ripper","UNK","0","mage.cards.r.RuthlessRipper","1","1","","","1","common","CREATURE","HUMAN ASSASSIN","","{B}","","true","false","false","false","false","black","","false"
"Riftwing Cloudskate","UNK","0","mage.cards.r.RiftwingCloudskate","2","2","","","5","common","CREATURE","ILLUSION","","{3}{U}{U}","","false","true","false","false","false","blue","","false"
"Rude Awakening","UNK","0","mage.cards.r.RudeAwakening","","","","","5","common","SORCERY","","","{4}{G}","","false","false","true","false","false","green","","false"
"Resolute Survivors","UNK","0","mage.cards.r.ResoluteSurvivors","3","3","","","3","common","CREATURE","HUMAN WARRIOR","","{1}{R}{W}","","false","false","false","true","true","multicolor","","false"
"Rulik Mons Warren Chief","UNK","0","mage.cards.r.RulikMonsWarrenChief","3","3","","","4","common","CREATURE","GOBLIN","","{1}{R}{G}{G}","","false","false","true","true","false","multicolor","","false"
"Rona Sheoldreds Faithful","UNK","0","mage.cards.r.RonaSheoldredsFaithful","3","4","","","4","common","CREATURE","HUMAN WIZARD","","{1}{U}{B}{B}","","true","true","false","false","false","multicolor","","false"
"Relentless Rats","UNK","0","mage.cards.r.RelentlessRats","2","2","","","3","common","CREATURE","RAT","","{1}{B}{B}","","true","false","false","false","false","black","","false"
"Rona Tolarian Obliterator","UNK","0","mage.cards.r.RonaTolarianObliterator","5","5","","","0","common","CREATURE","PHYREXIAN WIZARD","","","","false","false","false","false","false","colorless","","false"
"Rumbling Crescendo","UNK","0","mage.cards.r.RumblingCrescendo","","","","","5","common","ENCHANTMENT","","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Ready To Rumble","UNK","0","mage.cards.r.ReadyToRumble","","","","","5","common","SORCERY","","","{4}{R}","","false","false","false","true","false","red","","false"
"Restore The Peace","UNK","0","mage.cards.r.RestoreThePeace","","","","","3","common","INSTANT","","","{1}{W}{U}","","false","true","false","false","true","multicolor","","false"
"Root Sliver","UNK","0","mage.cards.r.RootSliver","2","2","","","4","common","CREATURE","SLIVER","","{3}{G}","","false","false","true","false","false","green","","false"
"Rhythm Of The Wild","UNK","0","mage.cards.r.RhythmOfTheWild","","","","","3","common","ENCHANTMENT","","","{1}{R}{G}","","false","false","true","true","false","multicolor","","false"
"Rotating Fireplace","UNK","0","mage.cards.r.RotatingFireplace","","","","","3","common","ARTIFACT","","","{3}","","false","false","false","false","false","colorless","","false"
"Rakdos Ragemutt","UNK","0","mage.cards.r.RakdosRagemutt","3","3","","","5","common","CREATURE","ELEMENTAL DOG","","{3}{B}{R}","","true","false","false","true","false","multicolor","","false"
"Rhystic Lightning","UNK","0","mage.cards.r.RhysticLightning","","","","","3","common","INSTANT","","","{2}{R}","","false","false","false","true","false","red","","false"
"Raven Clan War Axe","UNK","0","mage.cards.r.RavenClanWarAxe","","","","","3","common","ARTIFACT","EQUIPMENT","","{1}{R}{W}","","false","false","false","true","true","multicolor","","false"
"Rescue Leopard","UNK","0","mage.cards.r.RescueLeopard","4","2","","","3","common","CREATURE","CAT","","{2}{R}","","false","false","false","true","false","red","","false"
"Refute","UNK","0","mage.cards.r.Refute","","","","","3","common","INSTANT","","","{1}{U}{U}","","false","true","false","false","false","blue","","false"
"Renegade Troops","UNK","0","mage.cards.r.RenegadeTroops","4","2","","","5","common","CREATURE","HUMAN SOLDIER","","{4}{R}","","false","false","false","true","false","red","","false"
"Recross The Paths","UNK","0","mage.cards.r.RecrossThePaths","","","","","3","common","SORCERY","","","{2}{G}","","false","false","true","false","false","green","","false"
"Rot Tide Gargantua","UNK","0","mage.cards.r.RotTideGargantua","5","4","","","5","common","CREATURE","ZOMBIE KRAKEN","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Rimewind Taskmage","UNK","0","mage.cards.r.RimewindTaskmage","1","2","","","2","common","CREATURE","HUMAN WIZARD","","{1}{U}","","false","true","false","false","false","blue","","false"
"Ramses Assassin Lord","UNK","0","mage.cards.r.RamsesAssassinLord","4","4","","","4","common","CREATURE","HUMAN ASSASSIN","","{2}{U}{B}","","true","true","false","false","false","multicolor","","false"
"Regisaur Alpha","UNK","0","mage.cards.r.RegisaurAlpha","4","4","","","5","common","CREATURE","DINOSAUR","","{3}{R}{G}","","false","false","true","true","false","multicolor","","false"
"RMS Titanic","UNK","0","mage.cards.r.RMSTitanic","7","1","","","4","common","ARTIFACT","VEHICLE","","{3}{R}","","false","false","false","true","false","red","","false"
"Royal Warden","UNK","0","mage.cards.r.RoyalWarden","3","2","","","5","common","ARTIFACT CREATURE","NECRON","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Ral Caller Of Storms","UNK","0","mage.cards.r.RalCallerOfStorms","","","4","","6","common","PLANESWALKER","RAL","","{4}{U}{R}","","false","true","false","true","false","multicolor","","false"
"Riverpyre Verge","UNK","0","mage.cards.r.RiverpyreVerge","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Razorkin Hordecaller","UNK","0","mage.cards.r.RazorkinHordecaller","4","4","","","5","common","CREATURE","HUMAN CLOWN BERSERKER","","{4}{R}","","false","false","false","true","false","red","","false"
"Resilient Wanderer","UNK","0","mage.cards.r.ResilientWanderer","2","3","","","4","common","CREATURE","HUMAN NOMAD","","{2}{W}{W}","","false","false","false","false","true","white","","false"
"Risky Shortcut","UNK","0","mage.cards.r.RiskyShortcut","","","","","3","common","SORCERY","","","{2}{B}","","true","false","false","false","false","black","","false"
"Runed Halo","UNK","0","mage.cards.r.RunedHalo","","","","","2","common","ENCHANTMENT","","","{W}{W}","","false","false","false","false","true","white","","false"
"Raging Minotaur","UNK","0","mage.cards.r.RagingMinotaur","3","3","","","4","common","CREATURE","MINOTAUR BERSERKER","","{2}{R}{R}","","false","false","false","true","false","red","","false"
"Redirect","UNK","0","mage.cards.r.Redirect","","","","","2","common","INSTANT","","","{U}{U}","","false","true","false","false","false","blue","","false"
"Raiding Nightstalker","UNK","0","mage.cards.r.RaidingNightstalker","2","2","","","3","common","CREATURE","NIGHTSTALKER","","{2}{B}","","true","false","false","false","false","black","","false"
"Resilient Khenra","UNK","0","mage.cards.r.ResilientKhenra","2","2","","","2","common","CREATURE","","","{1}{G}","","false","false","true","false","false","green","","false"
"Rosie Cotton Of South Lane","UNK","0","mage.cards.r.RosieCottonOfSouthLane","1","1","","","3","common","CREATURE","HALFLING PEASANT","","{2}{W}","","false","false","false","false","true","white","","false"
"Rapacious One","UNK","0","mage.cards.r.RapaciousOne","5","4","","","6","common","CREATURE","ELDRAZI DRONE","","{5}{R}","","false","false","false","true","false","red","","false"
"Ransack The Lab","UNK","0","mage.cards.r.RansackTheLab","","","","","2","common","SORCERY","","","{1}{B}","","true","false","false","false","false","black","","false"
"Rite Of Oblivion","UNK","0","mage.cards.r.RiteOfOblivion","","","","","2","common","SORCERY","","","{W}{B}","","true","false","false","false","true","multicolor","","false"
"Ruination Guide","UNK","0","mage.cards.r.RuinationGuide","3","2","","","3","common","CREATURE","ELDRAZI DRONE","","{2}{U}","","false","true","false","false","false","blue","","false"
"Revival Of The Ancestors","UNK","0","mage.cards.r.RevivalOfTheAncestors","","","","","4","common","ENCHANTMENT","SAGA","","{1}{W}{B}{G}","","true","false","true","false","true","multicolor","","false"
"Razakeths Rite","UNK","0","mage.cards.r.RazakethsRite","","","","","5","common","SORCERY","","","{3}{B}{B}","","true","false","false","false","false","black","","false"
"Ravager Wurm","UNK","0","mage.cards.r.RavagerWurm","4","5","","","6","common","CREATURE","WURM","","{3}{R}{G}{G}","","false","false","true","true","false","multicolor","","false"
"Restoration Magic","UNK","0","mage.cards.r.RestorationMagic","","","","","1","common","INSTANT","","","{W}","","false","false","false","false","true","white","","false"
"Relentless Dead","UNK","0","mage.cards.r.RelentlessDead","2","2","","","2","common","CREATURE","ZOMBIE","","{B}{B}","","true","false","false","false","false","black","","false"
"Rats Feast","UNK","0","mage.cards.r.RatsFeast","","","","","2","common","SORCERY","","","{X}{B}","","true","false","false","false","false","black","","false"
"Road Of Return","UNK","0","mage.cards.r.RoadOfReturn","","","","","2","common","SORCERY","","","{G}{G}","","false","false","true","false","false","green","","false"
"Resounding Thunder","UNK","0","mage.cards.r.ResoundingThunder","","","","","3","common","INSTANT","","","{2}{R}","","false","false","false","true","false","red","","false"
"Revival Revenge","UNK","0","mage.cards.r.RevivalRevenge","","","","","4","common","SORCERY","","","{W/B}{W/B}","","true","false","false","false","true","multicolor","","false"
"Rise To Glory","UNK","0","mage.cards.r.RiseToGlory","","","","","5","common","SORCERY","","","{3}{W}{B}","","true","false","false","false","true","multicolor","","false"
"Rix Maadi Dungeon Palace","UNK","0","mage.cards.r.RixMaadiDungeonPalace","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Riptide Pilferer","UNK","0","mage.cards.r.RiptidePilferer","1","1","","","2","common","CREATURE","MERFOLK ROGUE","","{1}{U}","","false","true","false","false","false","blue","","false"
"Rolling Hamsphere","UNK","0","mage.cards.r.RollingHamsphere","4","4","","","7","common","ARTIFACT","VEHICLE","","{7}","","false","false","false","false","false","colorless","","false"
"Returned Centaur","UNK","0","mage.cards.r.ReturnedCentaur","2","4","","","4","common","CREATURE","ZOMBIE CENTAUR","","{3}{B}","","true","false","false","false","false","black","","false"
"Restless Ridgeline","UNK","0","mage.cards.r.RestlessRidgeline","","","","","0","common","LAND","","","","","false","false","false","false","false","colorless","","false"
"Rin And Seri Inseparable","UNK","0","mage.cards.r.RinAndSeriInseparable","4","4","","","4","common","CREATURE","DOG CAT","","{1}{R}{G}{W}","","false","false","true","true","true","multicolor","","false"
"Roar Of Endless Song","UNK","0","mage.cards.r.RoarOfEndlessSong","","","","","5","common","ENCHANTMENT","SAGA","","{2}{G}{U}{R}","","false","true","true","true","false","multicolor","","false"
"Rip Clan Crasher","UNK","0","mage.cards.r.RipClanCrasher","2","2","","","2","common","CREATURE","HUMAN WARRIOR","","{R}{G}","","false","false","true","true","false","multicolor","","false"
"Rites Of Initiation","UNK","0","mage.cards.r.RitesOfInitiation","","","","","1","common","INSTANT","","","{R}","","false","false","false","true","false","red","","false"
"Repeating Barrage","UNK","0","mage.cards.r.RepeatingBarrage","","","","","3","common","SORCERY","","","{1}{R}{R}","","false","false","false","true","false","red","","false"
"Ravenous Lindwurm","UNK","0","mage.cards.r.RavenousLindwurm","6","6","","","6","common","CREATURE","WURM","","{4}{G}{G}","","false","false","true","false","false","green","","false"
"Ronin Cliffrider","UNK","0","mage.cards.r.RoninCliffrider","2","2","","","5","common","CREATURE","HUMAN SAMURAI","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Republic Frigate","UNK","0","mage.cards.r.RepublicFrigate","3","3","","","4","common","ARTIFACT CREATURE","STARSHIP","","{3}{U}","","false","true","false","false","false","blue","","false"
"Requiem Monolith","UNK","0","mage.cards.r.RequiemMonolith","","","","","3","common","ARTIFACT","","","{2}{B}","","true","false","false","false","false","black","","false"
"Rocket Launcher","UNK","0","mage.cards.r.RocketLauncher","","","","","4","common","ARTIFACT","","","{4}","","false","false","false","false","false","colorless","","false"
"Rhox Maulers","UNK","0","mage.cards.r.RhoxMaulers","4","4","","","5","common","CREATURE","RHINO SOLDIER","","{4}{G}","","false","false","true","false","false","green","","false"
"Ravenform","UNK","0","mage.cards.r.Ravenform","","","","","3","common","SORCERY","","","{2}{U}","","false","true","false","false","false","blue","","false"
"Rafiq Of The Many","UNK","0","mage.cards.r.RafiqOfTheMany","3","3","","","4","common","CREATURE","HUMAN KNIGHT","","{1}{G}{W}{U}","","false","true","true","false","true","multicolor","","false"
"Ravenous Tyrannosaurus","UNK","0","mage.cards.r.RavenousTyrannosaurus","6","6","","","6","common","CREATURE","DINOSAUR","","{4}{R}{G}","","false","false","true","true","false","multicolor","","false"
"Ring Of Evos Isle","UNK","0","mage.cards.r.RingOfEvosIsle","","","","","2","common","ARTIFACT","EQUIPMENT","","{2}","","false","false","false","false","false","colorless","","false"
"Red Death Shipwrecker","UNK","0","mage.cards.r.RedDeathShipwrecker","1","3","","","2","common","CREATURE","CRAB MUTANT","","{U}{R}","","false","true","false","true","false","multicolor","","false"
"Rebbec Architect Of Ascension","UNK","0","mage.cards.r.RebbecArchitectOfAscension","3","4","","","4","common","CREATURE","HUMAN ARTIFICER","","{3}{W}","","false","false","false","false","true","white","","false"
"Runed Arch","UNK","0","mage.cards.r.RunedArch","","","","","3","common","ARTIFACT","","","{3}","","false","false","false","false","false","colorless","","false"
"Rite Of The Raging Storm","UNK","0","mage.cards.r.RiteOfTheRagingStorm","","","","","5","common","ENCHANTMENT","","","{3}{R}{R}","","false","false","false","true","false","red","","false"
"Repel The Vile","UNK","0","mage.cards.r.RepelTheVile","","","","","4","common","INSTANT","","","{3}{W}","","false","false","false","false","true","white","","false"
"Rite Of Passage","UNK","0","mage.cards.r.RiteOfPassage","","","","","3","common","ENCHANTMENT","","","{2}{G}","","false","false","true","false","false","green","","false"
"Restoration Specialist","UNK","0","mage.cards.r.RestorationSpecialist","2","1","","","2","common","CREATURE","DWARF ARTIFICER","","{1}{W}","","false","false","false","false","true","white","","false"
"Ritual Guardian","UNK","0","mage.cards.r.RitualGuardian","3","2","","","3","common","CREATURE","HUMAN SOLDIER","","{2}{W}","","false","false","false","false","true","white","","false"
"Ravenous Rats","UNK","0","mage.cards.r.RavenousRats","1","1","","","2","common","CREATURE","RAT","","{1}{B}","","true","false","false","false","false","black","","false"
"Ruhan Of The Fomori","UNK","0","mage.cards.r.RuhanOfTheFomori","7","7","","","4","common","CREATURE","GIANT WARRIOR","","{1}{U}{R}{W}","","false","true","false","true","true","multicolor","","false"
"Riverwalk Technique","UNK","0","mage.cards.r.RiverwalkTechnique","","","","","4","common","INSTANT","","","{3}{U}","","false","true","false","false","false","blue","","false"
"Refuse To Yield","UNK","0","mage.cards.r.RefuseToYield","","","","","2","common","INSTANT","","","{1}{W}","","false","false","false","false","true","white","","false"
"Roar Of Jukai","UNK","0","mage.cards.r.RoarOfJukai","","","","","3","common","INSTANT","ARCANE","","{2}{G}","","false","false","true","false","false","green","","false"
"Resurrected Cultist","UNK","0","mage.cards.r.ResurrectedCultist","4","1","","","3","common","CREATURE","HUMAN CLERIC","","{2}{B}","","true","false","false","false","false","black","","false"
"Rock Hydra","UNK","0","mage.cards.r.RockHydra","0","0","","","3","common","CREATURE","HYDRA","","{X}{R}{R}","","false","false","false","true","false","red","","false"
"Raugrin Crystal","UNK","0","mage.cards.r.RaugrinCrystal","","","","","3","common","ARTIFACT","","","{3}","","false","false","false","false","false","colorless","","false"
"Rhuk Hexgold Nabber","UNK","0","mage.cards.r.RhukHexgoldNabber","2","2","","","3","common","CREATURE","GOBLIN REBEL","","{2}{R}","","false","false","false","true","false","red","","false"
"Rotlung Reanimator","UNK","0","mage.cards.r.RotlungReanimator","2","2","","","3","common","CREATURE","ZOMBIE CLERIC","","{2}{B}","","true","false","false","false","false","black","","false"
"Ruins Recluse","UNK","0","mage.cards.r.RuinsRecluse","1","1","","","2","common","CREATURE","SPIDER","","{1}{G}","","false","false","true","false","false","green","","false"
